point_index,tx,ty,rx,ry,rz,centroid_x,centroid_y,fwhm_x,fwhm_y,peak,focus_x,focus_y,astig,theta,duration_s
34,0.6547152940183878,0.6636500842869282,-0.004722062591463329,0.030438335891813037,0.014927560556679959,1.0295993301589814,1.3298068375499983,0.04778426222357168,0.02944891831508467,40.270898237959074,-170.75860647289227,-76.38631210059788,94.37229437229439,-0.013210879956757182,5.250799179077148
35,-0.8739593233913183,-0.66487592831254,0.02054645828902721,-0.017373998276889326,-0.0306092182174325,-0.5942691936965935,-1.3457179653979043,0.04750982294055171,0.02759022679015177,43.163493235635684,-90.4452690166976,-148.7631416202845,-58.317872603586906,-0.013315200145458839,5.044321775436401
36,-0.6217295229434967,0.7712076101452112,0.034655678179115065,-0.007392964605242011,-0.04421162465587258,-0.2607957519368653,1.509076166791154,0.05008078392748713,0.03714393855446321,30.438164842405577,-107.51391465677182,-145.9183673469388,-38.40445269016698,0.09631605678750033,4.655399322509766
37,0.9024818986654282,-0.7763125579804182,-0.03758547864854336,0.04510978329926729,0.009869983419775963,1.5222934420010525,-1.538448272275017,0.050825274463135825,0.03825389530433036,29.04285573004628,-167.62523191094624,-79.56091527520098,88.06431663574526,0.07639555676182841,5.0855553150177
38,0.0546247698366642,0.3220500275492668,0.0025702660903334645,-0.027609242871403695,0.036233226675540214,-0.9324504055748539,0.6628138114546801,0.04886073957246258,0.03006396419727663,38.50988481966231,-213.05916305916307,-34.91032776747065,178.14883529169242,-0.018179496624799008,4.9047887325286865
39,-0.4603769890964031,-0.3188539296388626,-0.024260747712105513,0.015325678233057263,-0.020573693700134756,0.5125508706405928,-0.6494773245888108,0.0486331076821771,0.030356388705983266,38.475931764686024,-71.89239332096483,-161.7707689136261,-89.87837559266129,-0.030859613750060078,5.1002771854400635
40,-0.29069643653929234,0.5276549309492111,0.009230168629437686,0.04339583357796073,0.04435273241251707,1.460025783769768,1.081916313122685,0.04957341835379956,0.03130410681110649,36.74449323604695,-44.92888064316642,-199.96907854050718,-155.04019789734076,0.07135638272930844,5.023615121841431
41,0.19646759890019894,-0.5186435654759407,-0.018430902250111104,-0.005666809342801574,-0.010110295098274949,-0.19275176193376917,-1.0378705020350616,0.04916499845559302,0.03190039487971263,36.03329343962235,-184.24036281179144,-62.904555761698674,121.33580705009277,0.035457989885741004,4.636653661727905
42,0.8465784210711718,0.06262818165123463,0.028714893385767937,0.023179765418171877,-0.036090521886944775,0.7884236218479911,0.10148442751625096,0.04870363715064052,0.030665248190518517,38.022533107647895,-210.6679035250464,-51.113172541744035,159.55473098330236,-0.016596577644540922,4.930660724639893
43,-0.6273495387285948,-0.0775423850864172,-0.04416104936972261,-0.0354511215351522,0.020334884431213146,-1.2018149055605498,-0.1415188376420511,0.04838055565890737,0.03077383206765225,37.87272527882973,-145.9183673469388,-91.86765615337045,54.05071119356835,0.01615364482965065,4.9574949741363525
