point_index,tx,ty,rx,ry,rz,centroid_x,centroid_y,fwhm_x,fwhm_y,peak,focus_x,focus_yastig,duration_s
18,0.591441560536623,0.9964987952262163,0.03784083900973201,0.045528210792690524,0.03408328918740154,1.5303983255939482,2.0058655568219965,0.051153562761860845,0.04173772347351776,24.028037119680498,-141.65120593692023,-110.35868893011751,4.874071836471558
19,-0.9346934221684933,-0.9874761309474707,-0.03449808582663536,-0.00824502818286419,-0.02467375248670578,-0.2950377610401152,-1.9863044230838467,0.05245841473834927,0.0407778833223645,24.932987335682984,-74.13935271078134,-170.75860647289227,4.950473070144653
20,-0.6869272757321596,0.5764722786843777,-0.02050480889156461,-0.017010895814746622,-0.0001353851519525079,-0.5802182798414336,1.1490426889393117,0.04703201616322742,0.02715550751599175,37.31622441031744,-107.51391465677182,-133.11688311688312,4.688705921173096
21,0.8436709027737379,-0.5635085217654705,0.005056744813919066,0.028946559503674515,0.040701832808554175,0.9815281751674866,-1.09455193298906,0.04827548401695043,0.029576000434407543,36.133229153567875,-197.72211915069065,-56.16367759224909,4.4019105434417725
22,0.2384070549160242,0.017817361280322075,-0.04154898505657911,-0.049921711347997194,0.01785879535600543,-1.6828678839727105,0.046608843855453816,0.053439791465652586,0.03559760420152412,29.601249801598335,-272.44897959183675,19.75881261595549,4.9674763679504395
23,-0.2701507266610861,-0.0287796501070261,0.03235244685783982,0.011856992449611428,-0.027290458232164385,0.398106520611516,-0.07480152384315282,0.04734529676909725,0.02843421628486961,35.54855572161157,-101.8243661100804,-143.0735930735931,4.372453927993774
24,-0.47889386862516403,0.8199782129377127,-0.048206977453082805,0.03377482676878572,0.00038642659783363204,1.136598951655089,1.6382921998656024,0.04895303393369996,0.028728481798625572,33.98167548419054,-34.23005565862712,-204.42176870748307,5.129865646362305
25,0.010626696050167084,-0.8212223220616579,0.026524505950510507,-0.02182695753872395,-0.040856719482690096,-0.7388980629763823,-1.6588683820086918,0.04835513280538245,0.02922708133028388,36.93800810829106,-193.2282003710576,-51.66975881261601,4.799728155136108
26,0.9073867909610271,0.27719246223568916,-0.014568223804235461,0.0008641736581921564,-0.017606299184262757,0.03596506689568278,0.5389755095599108,0.05102730781549366,0.031648932652275266,35.042514468668884,-256.86456400742117,4.174397031539911,5.405430555343628
27,-0.5641197897493839,-0.2701360024511814,0.011628122907131909,-0.038916684035211806,0.027137120906263593,-1.3180786251696515,-0.5205397357918375,0.047248406788690675,0.02736657775672992,38.782984319740834,-159.83302411873845,-80.9420737992167,5.193967342376709
28,-0.8162880931049585,0.16600332595407963,0.04449802041053773,-0.036412457935512066,0.04767167568206787,-1.2362341738621292,0.36076362119642646,0.04833068573718995,0.03199256175375703,32.0619409014999,-133.11688311688312,-114.62585034013607,5.097506523132324
29,0.6595596130937338,-0.16281929425895214,-0.028670955169945958,0.02368381535634398,-0.00717925848439336,0.803394627755894,-0.3283661929938446,0.04827399173242049,0.030302718208303887,34.73548240330349,-181.99340342197493,-69.64543393114829,5.177313804626465
30,0.25845386274158955,0.7397949621081352,0.018667196575552228,-0.003698297496885064,-0.03433431070297957,-0.12777440617803915,1.449078530399004,0.04976246846563483,0.03427667604262802,29.84932112696627,-188.73428159142452,-62.904555761698674,4.986178636550903
31,-0.22672557644546032,-0.7449114471673965,-0.009091657213866712,0.040969271585345274,0.024828665051609272,1.3770662346833051,-1.4716755791851228,0.049871264772506946,0.0323374629914252,31.094312545763053,-56.16367759224909,-184.24036281179144,4.816795825958252
