TX,RY,Intensity,sigma_x,sigma_y,astigmatism
-3.8,-0.085,19373.00000000001,0.0199345645885272,0.0225958531090922,-405.504019789734
-3.8,-0.0825,19757.00000000001,0.0199729945292858,0.0228179994054914,-415.7699443413728
-3.8,-0.08,20127.000000000007,0.0200057368914631,0.0230385546151424,-426.0358688930117
-3.8,-0.0775,20482.00000000001,0.0200289786440269,0.0232646464758682,-426.984126984127
-3.8,-0.075,20867.000000000007,0.0200884248220705,0.0234541917891617,-438.0746237889096
-3.8,-0.0725,21264.000000000007,0.0201237734217364,0.0236336667542616,-449.165120593692
-3.8,-0.07,21510.00000000001,0.0201636005835851,0.0238534360712897,-460.25561739847456
-3.8,-0.0675,21522.00000000001,0.0201938312895863,0.0240813372463356,-465.8008658008658
-3.8,-0.065,21525.00000000002,0.0202228486732106,0.0243088737719579,-494.47536590393736
-3.8,-0.0625,21533.00000000001,0.0202543064662678,0.0245415205913443,-482.5602968460112
-3.8,-0.06,21542.000000000007,0.0202822939979476,0.0247724730162211,-515.9554730983302
-3.8,-0.0575,21548.00000000001,0.0203113618309743,0.0250044657582687,-496.8460111317255
-3.8,-0.055,21560.000000000007,0.0203448283605791,0.0252384369731369,-509.58565244279526
-3.8,-0.0525,21568.00000000002,0.0203761234935043,0.025470425948593,-528.6951144094002
-3.8,-0.05,21587.00000000001,0.0204039508963736,0.0257040716108616,-522.3252937538653
-3.8,-0.0475,21589.000000000007,0.0204396797370963,0.0259366893739053,-535.0649350649351
-3.8,-0.045,21597.00000000002,0.0204696582263638,0.026172638698192,-547.8045763760049
-3.8,-0.0425,21613.000000000007,0.0205087070356776,0.0264102473711003,-556.1327561327562
-3.8,-0.04,21622.00000000002,0.0205454579600916,0.0266466473092756,-569.6969696969697
-3.8,-0.0375,21633.00000000001,0.0205792215798998,0.0268815838958843,-569.6969696969697
-3.8,-0.035,21649.000000000007,0.0206118884946333,0.0271222048521502,-589.9402185116471
-3.8,-0.0325,21642.00000000001,0.0206515326280327,0.0273519631537096,-589.9402185116471
-3.8,-0.03,21652.000000000007,0.0206908891497479,0.027586127005208,-597.1346114203257
-3.8,-0.0275,21654.00000000001,0.0207296069922332,0.027824716953728,-604.3290043290044
-3.8,-0.025,21663.000000000007,0.0207753164034048,0.0280600527090066,-611.523397237683
-3.8,-0.0225,21667.00000000001,0.0208128512817517,0.028290891719157,-633.1065759637188
-3.8,-0.02,21673.000000000007,0.0208592732468743,0.0285253656068228,-633.1065759637189
-3.8,-0.0175,21685.00000000002,0.0209092830982078,0.0287659357851676,-638.9610389610391
-3.8,-0.015,21696.000000000007,0.0209527121132886,0.0290065753155696,-654.1743970315399
-3.8,-0.0124999999999999,21696.00000000002,0.0210033115287138,0.0292425260965207,-673.5930735930735
-3.8,-0.01,21705.00000000001,0.021041444254838,0.0294817011727351,-673.5930735930735
-3.8,-0.0075,21695.00000000002,0.0210893025778522,0.0297163496970797,-689.6310039167181
-3.8,-0.005,21703.00000000001,0.0211367923029462,0.0299573925377458,-697.6499690785404
-3.8,-0.0025,21710.00000000002,0.0211865063855546,0.0301981804047026,-705.6689342403628
-3.8,0.0,21718.00000000001,0.0212426122150152,0.0304360268505422,-713.6878994021852
-3.8,0.0025,21719.00000000002,0.0212894273069083,0.0306744291288868,-729.7258297258297
-3.8,0.0049999999999999,21735.00000000001,0.0213349981862431,0.0309166027919184,-721.7068645640074
-3.8,0.0074999999999999,21737.00000000002,0.0213941576926891,0.0311491306435164,-733.5188620902904
-3.8,0.0099999999999999,21745.00000000001,0.0214470205546798,0.0313941399836631,-734.0136054421766
-3.8,0.0124999999999999,21745.00000000002,0.0214997469055255,0.0316409785663464,-742.8571428571427
-3.8,0.015,21758.00000000001,0.0215588631607894,0.0318843961465536,-760.5442176870747
-3.8,0.0175,21751.00000000001,0.0216094529398449,0.0321281467254893,-769.3877551020406
-3.8,0.0199999999999999,21762.00000000001,0.0216605838214247,0.0323663701981551,-778.2312925170066
-3.8,0.0224999999999999,21758.00000000002,0.0217146073439422,0.0326094717865722,-778.2312925170066
-3.8,0.0249999999999999,21768.000000000007,0.0217725453971349,0.0328516428760072,-795.9183673469386
-3.8,0.0274999999999999,21781.00000000001,0.021832896309493,0.0331069715888604,-795.9183673469386
-3.8,0.03,21777.000000000007,0.0219029498197957,0.0333536031633315,-814.5124716553288
-3.8,0.0325,21780.00000000001,0.0219631464643829,0.0335964381157523,-812.1212121212121
-3.8,0.035,21786.000000000007,0.0220223373842039,0.0338408234601292,-841.1255411255412
-3.8,0.0375,21785.00000000001,0.0220882275885369,0.0340802083422426,-831.4574314574314
-3.8,0.04,21777.00000000001,0.0221453485428863,0.0343141317582325,-841.1255411255412
-3.8,0.0425,21793.00000000001,0.0222087316430914,0.0345536612767782,-860.4617604617605
-3.8,0.0449999999999999,21806.00000000001,0.0222793124582563,0.0348025723595258,-860.4617604617605
-3.8,0.0474999999999999,21820.000000000007,0.0223413118218501,0.0350438616477775,-879.7979797979798
-3.8,0.0499999999999999,21826.00000000001,0.0224102208126074,0.0353008571522119,-870.1298701298701
-3.8,0.0524999999999999,21819.00000000002,0.0224725924269499,0.0355437568010201,-889.4660894660896
-3.8,0.0549999999999999,21811.00000000001,0.0225338154393797,0.0357926807222133,-891.8779633065349
-3.8,0.0574999999999999,21805.00000000001,0.0226026599541842,0.0360347510072876,-902.370645227788
-3.8,0.06,21828.000000000007,0.0226749603379449,0.0362835861139874,-912.8633271490414
-3.8,0.0625,21841.00000000001,0.0227540784098467,0.0365272880736568,-923.3560090702948
-3.8,0.065,21849.00000000001,0.0228236874391911,0.0367685282053896,-933.8486909915482
-3.8,0.0675,21845.00000000001,0.0228994647015943,0.0370126930937952,-933.8486909915482
-3.8,0.07,21856.00000000001,0.0229755782229454,0.0372602448516637,-944.3413729128016
-3.8,0.0725,21866.000000000007,0.0230478404677739,0.0375082258365042,-954.8340548340548
-3.8,0.075,21881.00000000001,0.023120161716314,0.0377512796776069,-965.3267367553082
-3.8,0.0774999999999999,21893.00000000001,0.023201054890157,0.0379941006869902,-975.8194186765616
-3.8,0.0799999999999999,21891.000000000007,0.023274598658154,0.0382409048339505,-984.6011131725418
-3.8,0.0824999999999999,21895.00000000001,0.0233497542533534,0.0384909597046951,-984.6011131725418
-3.8,0.0849999999999999,21898.00000000001,0.0234263063820599,0.0387458773883701,-1007.2356215213358
-3.8,0.0875,21894.000000000007,0.0234980972604292,0.0389936205058233,-1018.5528756957328
-3.8,0.09,21900.00000000001,0.023582169658124,0.0392323370374878,-1018.5528756957328
-3.8,0.0925,21902.00000000001,0.0236659613617762,0.039478526792254,-1029.87012987013
-3.8,0.095,21905.000000000007,0.0237504660413713,0.0397288164310213,-1041.1873840445269
-3.8,0.0975,21912.00000000001,0.0238331159984988,0.0399715177841005,-1052.504638218924
-3.8,0.1,21922.00000000001,0.0239106329522116,0.0402216249993978,-1055.6586270871985
-3.7,-0.1,19706.00000000001,0.0198700827284373,0.0207408578238776,-336.05442176870747
-3.7,-0.0975,20077.00000000001,0.0198883221767038,0.0209474708361884,-344.671201814059
-3.7,-0.095,20429.000000000007,0.0198951935830665,0.0211785485123506,-354.05071119356825
-3.7,-0.0925,20813.00000000001,0.0199429103189224,0.0213618876446899,-368.21273964131103
-3.7,-0.09,21209.00000000001,0.0199655960896084,0.0215400242088199,-368.212739641311
-3.7,-0.0875,21574.000000000007,0.0199724782232777,0.0217602500307861,-387.0954442383013
-3.7,-0.085,21936.00000000002,0.0199982110563166,0.0219936849716263,-396.5367965367965
-3.7,-0.0825,22284.00000000001,0.0200023473465695,0.0221984089826632,-390.1051329622758
-3.7,-0.08,22608.000000000007,0.0200356918892906,0.022417066315949,-405.504019789734
-3.7,-0.0775,22678.00000000002,0.0200924227492281,0.0226358085784218,-410.3483817769532
-3.7,-0.075,22684.00000000001,0.0201148022883067,0.0228586913187434,-421.43887858173576
-3.7,-0.0725,22697.000000000007,0.0201419307277706,0.0230894301832099,-426.984126984127
-3.7,-0.07,22694.00000000001,0.0201639690066137,0.0233233627936924,-438.0746237889096
-3.7,-0.0675,22703.000000000007,0.0201872373314472,0.0235520635756677,-449.165120593692
-3.7,-0.065,22727.00000000002,0.0202174416224864,0.0237818889317808,-449.165120593692
-3.7,-0.0625,22729.00000000001,0.0202386782297519,0.0240149368393993,-460.25561739847456
-3.7,-0.06,22736.00000000001,0.0202721853139151,0.0242396072289582,-471.3461142032571
-3.7,-0.0575,22742.00000000002,0.0203032036008655,0.0244693668111097,-476.602762317048
-3.7,-0.055,22741.00000000001,0.0203282211988472,0.0247056759612731,-488.5178313749743
-3.7,-0.0525,22766.00000000002,0.0203592245449906,0.0249385568627593,-496.8460111317255
-3.7,-0.05,22780.00000000001,0.0203914504575255,0.0251660555153621,-509.58565244279526
-3.7,-0.0475,22790.000000000007,0.0204334616235836,0.0253984876887769,-515.9554730983302
-3.7,-0.045,22794.00000000001,0.0204649910901361,0.025637640755688,-522.3252937538653
-3.7,-0.0425,22786.00000000001,0.0204989122166428,0.0258708687474138,-535.0649350649351
-3.7,-0.04,22797.00000000002,0.0205367979994932,0.0261099448602775,-541.4347557204701
-3.7,-0.0375,22807.00000000001,0.0205765231735616,0.0263458963489988,-547.8045763760049
-3.7,-0.035,22824.000000000007,0.020619003306614,0.0265766950449774,-556.1327561327562
-3.7,-0.0325,22828.00000000001,0.0206534838470295,0.0268194164637298,-569.6969696969697
-3.7,-0.03,22850.000000000007,0.020692862296119,0.0270542130403124,-575.5514326942899
