TX,RY,Intensity,sigma_x,sigma_y,astigmatism
-3.9,-0.0875,16488.000000000007,0.0205112787984306,0.016292358752906,-405.504019789734
-3.9,-0.085,16864.00000000001,0.0205619270607624,0.0165794520620687,-420.9029066171922
-3.9,-0.0825,17287.000000000007,0.0206127984085083,0.0167559872617369,-431.1688311688312
-3.9,-0.08,17664.000000000007,0.0206840820942139,0.0169560156433115,-441.43475572047
-3.9,-0.0775,18030.00000000001,0.0207836753308177,0.0169247924517653,-438.0746237889095
-3.9,-0.075,18361.000000000007,0.0208777951560947,0.0168685883252444,-438.0746237889095
-3.9,-0.0725,18738.000000000007,0.0208570687825122,0.0175733871661544,-471.3461142032571
-3.9,-0.07,19135.00000000001,0.0209593927712111,0.0177647914304724,-476.602762317048
-3.9,-0.0675,19466.000000000007,0.0210510277832799,0.0179234018422745,-488.5178313749743
-3.9,-0.065,19835.00000000001,0.0211022859406583,0.0182627099553018,-494.4753659039374
-3.9,-0.0625,20170.00000000001,0.0212531999295514,0.0182594493066097,-503.2158317872604
-3.9,-0.06,20227.000000000007,0.0213197295453079,0.0186091303499087,-509.58565244279526
-3.9,-0.0575,20241.00000000001,0.0213742371496143,0.0188202933187013,-522.3252937538653
-3.9,-0.055,20255.000000000007,0.0213837679891039,0.019188381210741,-541.43475572047
-3.9,-0.0525,20266.00000000001,0.0214759024685416,0.0192416589368831,-535.0649350649351
-3.9,-0.05,20268.00000000001,0.0215321964132407,0.0194474249802511,-547.8045763760049
-3.9,-0.0475,20281.000000000007,0.0215905648735543,0.0196289249364845,-556.1327561327562
-3.9,-0.045,20294.00000000001,0.0216454931504205,0.0198403579893037,-569.6969696969697
-3.9,-0.0425,20292.000000000007,0.021620403813025,0.0203892615861708,-583.2611832611833
-3.9,-0.04,20297.00000000001,0.0217149940107054,0.0204119524690006,-582.7458256029685
-3.9,-0.0375,20303.00000000001,0.0218234998206658,0.0204489475078639,-589.9402185116471
-3.9,-0.035,20297.000000000007,0.0218417130911703,0.0208512491669661,-597.1346114203257
-3.9,-0.0325,20297.00000000001,0.0218933011920998,0.0210723458754932,-611.523397237683
-3.9,-0.03,20311.000000000007,0.0219957528537569,0.0211089240535108,-618.7177901463616
-3.9,-0.0275,20309.00000000001,0.0220070864402986,0.0215143519341273,-625.9121830550403
